epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,51.7086,3.0531,0.59443,0.87922,2.00373,9.75421e-05,9.75421e-05,9.75421e-05
2,97.6576,1.37847,0.80284,0.97217,0.69088,0.00019167,0.00019167,0.00019167
3,147.158,0.71931,0.85554,0.9852,0.46622,0.000281918,0.000281918,0.000281918
4,194.679,0.51565,0.90053,0.98934,0.345,0.000276536,0.000276536,0.000276536
5,241.05,0.41637,0.90764,0.98993,0.32146,0.000270715,0.000270715,0.000270715
6,290.69,0.34436,0.91356,0.99467,0.29936,0.000264894,0.000264894,0.000264894
7,340.11,0.31256,0.91829,0.9923,0.28844,0.000259073,0.000259073,0.000259073
8,388.846,0.28506,0.92066,0.9929,0.27509,0.000253252,0.000253252,0.000253252
9,436.941,0.25948,0.92658,0.99586,0.26828,0.00024743,0.00024743,0.00024743
10,486.394,0.22354,0.93014,0.99645,0.25454,0.000241609,0.000241609,0.000241609
11,538.419,0.22558,0.92303,0.9929,0.25971,0.000235788,0.000235788,0.000235788
12,593.111,0.20544,0.93428,0.9929,0.2397,0.000229967,0.000229967,0.000229967
13,651.624,0.1954,0.92777,0.9929,0.24231,0.000224146,0.000224146,0.000224146
14,711.808,0.17072,0.93073,0.99467,0.24914,0.000218324,0.000218324,0.000218324
15,774.887,0.17678,0.93428,0.99408,0.25106,0.000212503,0.000212503,0.000212503
16,832.992,0.15642,0.93487,0.99408,0.23939,0.000206682,0.000206682,0.000206682
17,894.423,0.14416,0.93546,0.99408,0.23722,0.000200861,0.000200861,0.000200861
18,949.92,0.14441,0.92954,0.99408,0.25016,0.00019504,0.00019504,0.00019504
19,1004.38,0.13246,0.9331,0.99586,0.23797,0.000189218,0.000189218,0.000189218
20,1062.3,0.13904,0.93902,0.99526,0.22789,0.000183397,0.000183397,0.000183397
21,1120.65,0.13682,0.93132,0.99349,0.23918,0.000177576,0.000177576,0.000177576
22,1176.47,0.12382,0.94316,0.99467,0.23156,0.000171755,0.000171755,0.000171755
23,1232.21,0.10949,0.94375,0.99467,0.23062,0.000165934,0.000165934,0.000165934
24,1289.16,0.11928,0.93369,0.99526,0.2338,0.000160112,0.000160112,0.000160112
25,1339.92,0.10594,0.93724,0.99467,0.23591,0.000154291,0.000154291,0.000154291
26,1397.74,0.11649,0.93961,0.99467,0.22768,0.00014847,0.00014847,0.00014847
27,1453.12,0.10061,0.93843,0.99526,0.23573,0.000142649,0.000142649,0.000142649
28,1507.74,0.09881,0.93724,0.99467,0.232,0.000136828,0.000136828,0.000136828
29,1562.99,0.0874,0.94198,0.99526,0.22964,0.000131006,0.000131006,0.000131006
30,1615.97,0.09415,0.94079,0.99408,0.22863,0.000125185,0.000125185,0.000125185
31,1667.81,0.08965,0.94257,0.99408,0.2343,0.000119364,0.000119364,0.000119364
32,1721.76,0.08996,0.94198,0.99408,0.23513,0.000113543,0.000113543,0.000113543
33,1780.32,0.07786,0.93665,0.99467,0.23372,0.000107722,0.000107722,0.000107722
34,1837.91,0.0773,0.9402,0.99526,0.23043,0.0001019,0.0001019,0.0001019
35,1893.56,0.07731,0.94139,0.99526,0.22801,9.60792e-05,9.60792e-05,9.60792e-05
36,1948.9,0.07629,0.94139,0.99467,0.22497,9.0258e-05,9.0258e-05,9.0258e-05
37,2002,0.08165,0.94257,0.99408,0.24155,8.44368e-05,8.44368e-05,8.44368e-05
38,2062.39,0.06576,0.93961,0.99408,0.23863,7.86156e-05,7.86156e-05,7.86156e-05
39,2117.33,0.07505,0.94316,0.99467,0.2345,7.27944e-05,7.27944e-05,7.27944e-05
40,2175.44,0.07116,0.94139,0.99408,0.23457,6.69732e-05,6.69732e-05,6.69732e-05
41,2272.42,0.07432,0.94316,0.99467,0.22691,6.1152e-05,6.1152e-05,6.1152e-05
42,2323.94,0.06696,0.93843,0.99526,0.22706,5.53308e-05,5.53308e-05,5.53308e-05
43,2379.05,0.07041,0.94257,0.99467,0.22465,4.95096e-05,4.95096e-05,4.95096e-05
44,2432.14,0.0631,0.94198,0.99467,0.22615,4.36884e-05,4.36884e-05,4.36884e-05
45,2494.48,0.07077,0.94257,0.99467,0.22582,3.78672e-05,3.78672e-05,3.78672e-05
46,2551.78,0.06352,0.94494,0.99467,0.2288,3.2046e-05,3.2046e-05,3.2046e-05
47,2608.78,0.0666,0.94375,0.99467,0.2223,2.62248e-05,2.62248e-05,2.62248e-05
48,2665.4,0.06339,0.94494,0.99467,0.21951,2.04036e-05,2.04036e-05,2.04036e-05
49,2721.72,0.06551,0.94553,0.99467,0.21983,1.45824e-05,1.45824e-05,1.45824e-05
50,2779.86,0.06472,0.94375,0.99467,0.22467,8.7612e-06,8.7612e-06,8.7612e-06
