epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,49.1871,2.13842,0.86995,0.98631,0.47468,0.0001104,0.0001104,0.0001104
2,96.9966,0.47343,0.93429,0.99589,0.24764,0.000219208,0.000219208,0.000219208
3,150.362,0.32295,0.91992,0.99452,0.28888,0.000325818,0.000325818,0.000325818
4,204.788,0.28052,0.93155,0.99521,0.22365,0.00032311,0.00032311,0.00032311
5,254.394,0.224,0.93908,0.99589,0.21364,0.000319813,0.000319813,0.000319813
6,305.562,0.17973,0.95893,0.99795,0.13234,0.000316517,0.000316517,0.000316517
7,357.136,0.14381,0.96235,0.99863,0.13121,0.00031322,0.00031322,0.00031322
8,407.668,0.13905,0.95619,0.99589,0.15542,0.000309923,0.000309923,0.000309923
9,463.109,0.11494,0.96235,0.99795,0.14148,0.000306626,0.000306626,0.000306626
10,521.288,0.10113,0.9514,0.99726,0.15798,0.00030333,0.00030333,0.00030333
11,573.07,0.10631,0.94798,0.99795,0.16709,0.000300033,0.000300033,0.000300033
12,631.038,0.10058,0.95893,0.99726,0.14866,0.000296736,0.000296736,0.000296736
13,687.452,0.09199,0.9603,0.99658,0.13566,0.00029344,0.00029344,0.00029344
14,740.393,0.09012,0.95551,0.99795,0.12661,0.000290143,0.000290143,0.000290143
15,791.658,0.08788,0.96441,0.99726,0.13413,0.000286846,0.000286846,0.000286846
16,847.433,0.07441,0.96441,0.99726,0.13354,0.00028355,0.00028355,0.00028355
17,902.928,0.07658,0.95688,0.99658,0.14651,0.000280253,0.000280253,0.000280253
18,952.703,0.0756,0.96167,0.99589,0.13127,0.000276956,0.000276956,0.000276956
19,1005.87,0.07148,0.95072,0.99521,0.18868,0.000273659,0.000273659,0.000273659
20,1063.23,0.08305,0.96304,0.99589,0.14484,0.000270363,0.000270363,0.000270363
21,1121.64,0.0664,0.96167,0.99658,0.14707,0.000267066,0.000267066,0.000267066
22,1176.56,0.06571,0.96167,0.99658,0.14595,0.000263769,0.000263769,0.000263769
23,1228.7,0.06265,0.96304,0.99658,0.15285,0.000260473,0.000260473,0.000260473
24,1279.68,0.07224,0.96099,0.99795,0.14041,0.000257176,0.000257176,0.000257176
25,1331.86,0.05479,0.95756,0.99589,0.17455,0.000253879,0.000253879,0.000253879
